Date,Calcium,Magnesium,Potassium,Sodium,Chlorures,Nitrates,Sulfates,CalciumLoad_g,MagnesiumLoad_g,PotassiumLoad_g,SodiumLoad_g,ChloruresLoad_g,NitratesLoad_g,SulfatesLoad_g,discharge,LogQ,Turbidity,TempRiver,Date
2015-08-16 07:30:00,2.439423940149626,0.2857613168724279,0.1284066496163682,0.4634565217391304,0.7491098591549296,0.6291903225806451,0.6024619575197405,0.3293222319201995,0.038577777777777766,0.017334897698209707,0.06256663043478261,0.10112983098591549,0.0849406935483871,0.08133236426516498,0.135,-0.8696662315049939,53.03,15.61,2015-08-16 07:30:00
2015-08-16 08:00:00,2.455142144638404,0.2874485596707819,0.1264526854219949,0.4654869565217391,0.7532507042253521,0.6319870967741935,0.6037569933280285,0.33144418952618454,0.038805555555555565,0.017071112531969312,0.06284073913043478,0.10168884507042254,0.08531825806451614,0.08150719409928385,0.135,-0.8696662315049939,53.08,15.62,2015-08-16 08:00:00
2015-08-16 08:30:00,2.46531421446384,0.2887201646090535,0.1251099744245524,0.4689217391304348,0.7605126760563381,0.6378435483870968,0.6050520291363164,0.3328174189526184,0.03897722222222222,0.016889846547314576,0.06330443478260869,0.10266921126760566,0.08610887903225807,0.08168202393340272,0.135,-0.8696662315049939,52.81,15.64,2015-08-16 08:30:00
2015-08-16 09:00:00,2.4960349127182044,0.2921522633744856,0.1243529411764705,0.4732521739130435,0.7700845070422535,0.6466967741935483,0.613799167533819,0.3356334945976732,0.039284741015186544,0.016721325490237516,0.06363664231899832,0.10355069671387171,0.08695915957010802,0.08253552806125213,0.134466666667,-0.8713853608418393,52.59,15.68,2015-08-16 09:00:00
2015-08-16 09:30:00,2.52285536159601,0.2966008230452674,0.1237314578005115,0.4792913043478261,0.7819971830985916,0.6559274193548387,0.6230010405827263,0.3341942402335924,0.03928972235949529,0.016390293776682333,0.06349012144943512,0.1035885601880541,0.08688851881742293,0.08252687117606615,0.132466666667,-0.8778933919447732,52.94,15.72,2015-08-16 09:30:00
2015-08-16 10:00:00,2.563511221945137,0.301074074074074,0.1229565217391304,0.4867043478260869,0.7957126760563381,0.6658838709677419,0.6326888657648283,0.33581997007481296,0.03944070370370369,0.016107304347826083,0.0637582695652174,0.1042383605633803,0.08723078709677419,0.08288224141519251,0.131,-0.8827287043442357,56.88,15.81,2015-08-16 10:00:00
2015-08-16 10:30:00,2.598152119700748,0.3055390946502057,0.1237519181585677,0.4964565217391304,0.8082450704225351,0.675733870967742,0.6413132154006244,0.34035792768079803,0.040025621399176946,0.01621150127877237,0.06503580434782609,0.1058801042253521,0.0885211370967742,0.0840120312174818,0.131,-0.8827287043442357,55.11,16.06,2015-08-16 10:30:00
2015-08-16 11:00:00,2.6303366583541146,0.3093662551440329,0.1238593350383631,0.5038521739130435,0.8223267605633803,0.6845854838709677,0.6501331945889699,0.34352196758104736,0.040403232921810694,0.01617602915601022,0.06580309391304348,0.10739587492957746,0.08940686419354839,0.08490739521331947,0.1306,-0.8840568230609449,57.14,16.15,2015-08-16 11:00:00
2015-08-16 11:30:00,2.65543391521197,0.3125555555555556,0.1239514066496163,0.511495652173913,0.835912676056338,0.6912032258064515,0.6572882414151925,0.34281651845386535,0.040350922222222224,0.016002126598465463,0.06603408869565217,0.10791632647887323,0.08923433645161288,0.08485591196670135,0.1291,-0.8890737577335797,55.32,16.2,2015-08-16 11:30:00
2015-08-16 12:00:00,2.6743241895261844,0.3151028806584362,0.1241841432225063,0.5183521739130434,0.8476845070422535,0.6950790322580646,0.6625098855359002,0.3423134962593516,0.04033316872427984,0.015895570332480808,0.06634907826086957,0.10850361690140845,0.08897011612903226,0.08480126534859522,0.128,-0.8927900303521317,55.28,16.22,2015-08-16 12:00:00
